<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: priority_download.csv>index,candidate_id,下载批次,基材类别,题名,年份,期刊,DOI,下载入口,TG证据,LOI证据,预计状态_低,预计状态_高,访问状态,下载/提取提示
142,C154,A08,芳纶,Highly Hydrophobic SiO2/TiO2 Coatings for Thermal Protection: Enhancing Flame Retardancy and Thermal Insulation Performance of Aramid Fabrics,2025,Advanced Engineering Materials,10.1002/adem.202500141,https://doi.org/10.1002/adem.202500141,TG待PDF确认,燃烧性能待PDF确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
143,C155,A08,芳纶,"Flame-retardant aramid fabric with durable, self-cleaning, hydrophobic, and tunable electromagnetic interference shielding properties",2023,Composites Part A: Applied Science and Manufacturing,10.1016/j.compositesa.2022.107392,https://doi.org/10.1016/j.compositesa.2022.107392,TG待PDF确认,燃烧性能已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
144,C089,A08,棉,"Multifunctional Superamphiphobic Cotton Fabrics with Highly Efficient Flame Retardancy, Self-Cleaning, and Electromagnetic Interference Shielding",2022,ACS Applied Materials & Interfaces,10.1021/acsami.2c21320,https://doi.org/10.1021/acsami.2c21320,TG待PDF确认,LOI已确认,3,8,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
145,C090,A08,棉,"Ecofriendly Flame-Retardant Cotton Fabrics: Preparation, Flame Retardancy, Thermal Degradation Properties, and Mechanism",2019,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.9b05523,https://doi.org/10.1021/acssuschemeng.9b05523,TG/TG-FTIR已明确,出版社页未直接显示LOI；垂直燃烧明确,4,8,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
146,C091,A08,棉,Preparation of a halogen-free P/N/Si flame retardant monomer with reactive siloxy groups and its application in cotton fabrics,2017,Chinese Journal of Chemical Engineering,10.1016/j.cjche.2016.09.015,https://doi.org/10.1016/j.cjche.2016.09.015,TG已确认,LOI已确认,4,8,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
147,C092,A08,棉,"A novel phosphoramidate and its application on cotton fabrics: Synthesis, flammability and thermal degradation",2017,Journal of Analytical and Applied Pyrolysis,10.1016/j.jaap.2017.04.011,https://doi.org/10.1016/j.jaap.2017.04.011,TG-FTIR已明确,LOI已明确,3,8,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
148,C093,A08,棉,The thermal degradation pathway studies of a phosphazene derivative on cotton fabric,2015,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2015.04.032,https://doi.org/10.1016/j.polymdegradstab.2015.04.032,TGA/TGA-FTIR已确认,前序性能含LOI；本篇需PDF核对逐样品对应,3,8,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
149,C094,A08,棉,Flame retardant finishing of cotton fabric based on synergistic compounds containing boron and nitrogen,2013,Carbohydrate Polymers,10.1016/j.carbpol.2013.06.014,https://doi.org/10.1016/j.carbpol.2013.06.014,TG已确认,LOI已确认,4,8,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
150,C095,A08,棉,"A novel durable flame-retardant cotton fabric using sodium hypophosphite, nano TiO2 and maleic acid",2011,Thermochimica Acta,10.1016/j.tca.2011.03.012,https://doi.org/10.1016/j.tca.2011.03.012,TG已确认,LOI已确认,4,8,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
151,C096,A08,棉,2D Hexagonal Boron Nitride-Coated Cotton Fabric with Self-Extinguishing Property,2020,ACS Applied Materials & Interfaces,10.1021/acsami.0c12647,https://doi.org/10.1021/acsami.0c12647,TG待PDF确认,LOI/燃烧已确认,3,7,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
152,C097,A08,棉,Thermal behaviour and flame retardancy of monoethanolamine-doped sol-gel coatings of cotton fabric,2017,Progress in Organic Coatings,10.1016/j.porgcoat.2016.10.035,https://doi.org/10.1016/j.porgcoat.2016.10.035,TGA已明确,LOI已明确,3,7,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
153,C098,A08,棉,The thermal degradation pathway studies of a phosphazene derivative on cotton fabric,2015,Polymer Degradation and Stability,,,TGA-FTIR已确认,LOI待PDF确认,3,6,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
154,C143,A08,棉/聚酯,Insight into pyrolysis degradation of polyester/cotton blended fabric with a system of two-component independent flame-retardation by Py-GC/MS analysis,2025,Journal of Analytical and Applied Pyrolysis,10.1016/j.jaap.2025.107109,https://doi.org/10.1016/j.jaap.2025.107109,TG已确认,LOI已确认,3,6,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
