<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: commercial_tg.csv>index,市售TG编号,证据等级,品牌/商业体系,具体样品/状态,关联product_id,品牌/厂家,基材类别,材料形态,组成/产品描述,面密度(g/m²),状态/处理,典型城市用途,气氛,气体流量(mL/min),升温速率(°C/min),温度起点(°C),温度终点(°C),T5(°C),T10(°C),T50(°C),Tonset/起始分解(°C),Tmax1(°C),Tmax2(°C),最大失重速率,速率单位,残余温度(°C),残余质量(%),LOI(%),其他TG/DTG原文信息,数值来源,来源类型,来源题名,年份,DOI,来源URL,匹配范围,限制/冲突,可直接用于数值分析,检索日期
202,CTG0203,C-真实后消费纺织基线,post-consumer textile baseline,Pure Cotton - 10°C/min,,,棉,实际纺织废弃物,100% cotton,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,10,30.0,800.0,,,,,370.2,,,,800.0,9.1,,W0=8.4 mg；W∞=9.1%；报告的T̄xWL=370.2°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
203,CTG0204,C-真实后消费纺织基线,post-consumer textile baseline,Pure Cotton - 15°C/min,,,棉,实际纺织废弃物,100% cotton,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,15,30.0,800.0,,,,,376.4,,,,800.0,9.9,,W0=13.9 mg；W∞=9.9%；报告的T̄xWL=376.4°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
204,CTG0205,C-真实后消费纺织基线,post-consumer textile baseline,Pure Cotton - 20°C/min,,,棉,实际纺织废弃物,100% cotton,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,20,30.0,800.0,,,,,382.0,,,,800.0,12.0,,W0=9.7 mg；W∞=12.0%；报告的T̄xWL=382.0°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
205,CTG0206,C-真实后消费纺织基线,post-consumer textile baseline,Pure Polyester - 5°C/min,,,聚酯,实际纺织废弃物,100% polyester,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,5,30.0,800.0,,,,,414.6,,,,800.0,16.7,,W0=18.0 mg；W∞=16.7%；报告的T̄xWL=431.8°C。 表中另列主失重峰=414.6°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
206,CTG0207,C-真实后消费纺织基线,post-consumer textile baseline,Pure Polyester - 10°C/min,,,聚酯,实际纺织废弃物,100% polyester,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,10,30.0,800.0,,,,,429.9,,,,800.0,16.9,,W0=12.3 mg；W∞=16.9%；报告的T̄xWL=429.9°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
207,CTG0208,C-真实后消费纺织基线,post-consumer textile baseline,Pure Polyester - 15°C/min,,,聚酯,实际纺织废弃物,100% polyester,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,15,30.0,800.0,,,,,436.9,,,,800.0,16.6,,W0=12.4 mg；W∞=16.6%；报告的T̄xWL=436.9°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
208,CTG0209,C-真实后消费纺织基线,post-consumer textile baseline,Pure Polyester - 20°C/min,,,聚酯,实际纺织废弃物,100% polyester,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,20,30.0,800.0,,,,,445.7,,,,800.0,16.8,,W0=13.9 mg；W∞=16.8%；报告的T̄xWL=445.7°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
209,CTG0210,C-真实后消费纺织基线,post-consumer textile baseline,Cotton/polyester blend - 5°C/min,,,棉/聚酯,实际纺织废弃物,50% cotton / 50% polyester,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,5,30.0,800.0,,,,,351.7,424.5,,,800.0,8.5,,W0=8.2 mg；W∞=8.5%；报告的T̄xWL=364.2°C。 5°C/min时两个主失重峰=351.7°C和424.5°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
210,CTG0211,C-真实后消费纺织基线,post-consumer textile baseline,Cotton/polyester blend - 10°C/min,,,棉/聚酯,实际纺织废弃物,50% cotton / 50% polyester,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,10,30.0,800.0,,,,,363.1,,,,800.0,13.0,,W0=13.4 mg；W∞=13.0%；报告的T̄xWL=363.1°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
211,CTG0212,C-真实后消费纺织基线,post-consumer textile baseline,Cotton/polyester blend - 15°C/min,,,棉/聚酯,实际纺织废弃物,50% cotton / 50% polyester,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,15,30.0,800.0,,,,,368.5,,,,800.0,11.9,,W0=12.7 mg；W∞=11.9%；报告的T̄xWL=368.5°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
212,CTG0213,C-真实后消费纺织基线,post-consumer textile baseline,Cotton/polyester blend - 20°C/min,,,棉/聚酯,实际纺织废弃物,50% cotton / 50% polyester,,as received textile waste,城市纺织废弃物/实际服装和家纺基线,N2,20.0,20,30.0,800.0,,,,,373.6,,,,800.0,11.8,,W0=10.5 mg；W∞=11.8%；报告的T̄xWL=373.6°C。,原文Table 2,原始论文开放全文,Thermogravimetric analysis of textile waste: kinetic parameters and pyrolytic decomposition mechanisms,2025.0,10.1016/j.tsep.2025.103946,https://www.sciencedirect.com/science/article/pii/S2451904925007371,真实后消费棉/PET/50:50棉涤；S2/S3/S5基础基线,原文Table 2部分列为TmaxWL/T̄xWL；本表用Tmax栏保存明确峰温，并在说明中保留原始列名。,是,2026-09-06
213,CTG0214,C-真实NYCO织物体系,PA/PEI LbL on NC,C-0,,,棉/锦纶,织物,nylon/cotton blend fabric,,untreated,消防服/工业防护/户外及城市技术纺织参照,N2,,,,,,348.0,390.0,,378.0,,1.269,%/min,800.0,8.6,,Table 2完整TG参数；C-3 R800=43.9%，P@C-3在功能化后仍保留35.1%。,原文Table 2,原始论文开放全文,Bio-Based Flame Retardant Superhydrophobic Coatings by Phytic Acid/Polyethyleneimine Layer-by-Layer Assembly on Nylon/Cotton Blend Fabrics,2025.0,10.3390/coatings15060699,https://www.mdpi.com/2079-6412/15/6/699,真实NYCO；S4高价值辅助参照,当前公开文本未在此表段显示准确棉/锦比例，保持缺失不猜。,是,2026-09-06
214,CTG0215,C-真实NYCO织物体系,PA/PEI LbL on NC,C-1,,,棉/锦纶,织物,nylon/cotton blend fabric,,PA/PEI LbL stage 1,消防服/工业防护/户外及城市技术纺织参照,N2,,,,,,278.0,407.0,,329.0,,0.608,%/min,800.0,37.9,,Table 2完整TG参数；C-3 R800=43.9%，P@C-3在功能化后仍保留35.1%。,原文Table 2,原始论文开放全文,Bio-Based Flame Retardant Superhydrophobic Coatings by Phytic Acid/Polyethyleneimine Layer-by-Layer Assembly on Nylon/Cotton Blend Fabrics,2025.0,10.3390/coatings15060699,https://www.mdpi.com/2079-6412/15/6/699,真实NYCO；S4高价值辅助参照,当前公开文本未在此表段显示准确棉/锦比例，保持缺失不猜。,是,2026-09-06
215,CTG0216,C-真实NYCO织物体系,PA/PEI LbL on NC,C-2,,,棉/锦纶,织物,nylon/cotton blend fabric,,PA/PEI LbL stage 2,消防服/工业防护/户外及城市技术纺织参照,N2,,,,,,274.0,456.0,,328.0,,0.283,%/min,800.0,41.1,,Table 2完整TG参数；C-3 R800=43.9%，P@C-3在功能化后仍保留35.1%。,原文Table 2,原始论文开放全文,Bio-Based Flame Retardant Superhydrophobic Coatings by Phytic Acid/Polyethyleneimine Layer-by-Layer Assembly on Nylon/Cotton Blend Fabrics,2025.0,10.3390/coatings15060699,https://www.mdpi.com/2079-6412/15/6/699,真实NYCO；S4高价值辅助参照,当前公开文本未在此表段显示准确棉/锦比例，保持缺失不猜。,是,2026-09-06
216,CTG0217,C-真实NYCO织物体系,PA/PEI LbL on NC,C-3,,,棉/锦纶,织物,nylon/cotton blend fabric,,PA/PEI LbL optimized,消防服/工业防护/户外及城市技术纺织参照,N2,,,,,,282.0,458.0,,327.0,,0.356,%/min,800.0,43.9,,Table 2完整TG参数；C-3 R800=43.9%，P@C-3在功能化后仍保留35.1%。,原文Table 2,原始论文开放全文,Bio-Based Flame Retardant Superhydrophobic Coatings by Phytic Acid/Polyethyleneimine Layer-by-Layer Assembly on Nylon/Cotton Blend Fabrics,2025.0,10.3390/coatings15060699,https://www.mdpi.com/2079-6412/15/6/699,真实NYCO；S4高价值辅助参照,当前公开文本未在此表段显示准确棉/锦比例，保持缺失不猜。,是,2026-09-06
217,CTG0218,C-真实NYCO织物体系,PA/PEI LbL on NC,C-4,,,棉/锦纶,织物,nylon/cotton blend fabric,,PA/PEI LbL stage 4,消防服/工业防护/户外及城市技术纺织参照,N2,,,,,,281.0,445.0,,328.0,,0.412,%/min,800.0,39.9,,Table 2完整TG参数；C-3 R800=43.9%，P@C-3在功能化后仍保留35.1%。,原文Table 2,原始论文开放全文,Bio-Based Flame Retardant Superhydrophobic Coatings by Phytic Acid/Polyethyleneimine Layer-by-Layer Assembly on Nylon/Cotton Blend Fabrics,2025.0,10.3390/coatings15060699,https://www.mdpi.com/2079-6412/15/6/699,真实NYCO；S4高价值辅助参照,当前公开文本未在此表段显示准确棉/锦比例，保持缺失不猜。,是,2026-09-06
218,CTG0219,C-真实NYCO织物体系,PA/PEI LbL on NC,P@C-3,,,棉/锦纶,织物,nylon/cotton blend fabric,,C-3 + PDMS superhydrophobic modification,消防服/工业防护/户外及城市技术纺织参照,N2,,,,,,277.0,425.0,,324.0,,0.452,%/min,800.0,35.1,,Table 2完整TG参数；C-3 R800=43.9%，P@C-3在功能化后仍保留35.1%。,原文Table 2,原始论文开放全文,Bio-Based Flame Retardant Superhydrophobic Coatings by Phytic Acid/Polyethyleneimine Layer-by-Layer Assembly on Nylon/Cotton Blend Fabrics,2025.0,10.3390/coatings15060699,https://www.mdpi.com/2079-6412/15/6/699,真实NYCO；S4高价值辅助参照,当前公开文本未在此表段显示准确棉/锦比例，保持缺失不猜。,是,2026-09-06
219,CTG0220,C-真实NYCO织物体系,PA/PEI LbL on NC,C(PA),,,棉/锦纶,织物,nylon/cotton blend fabric,,PA-only control,消防服/工业防护/户外及城市技术纺织参照,N2,,,,,,356.0,405.0,,382.0,,1.008,%/min,800.0,15.2,,Table 2完整TG参数；C-3 R800=43.9%，P@C-3在功能化后仍保留35.1%。,原文Table 2,原始论文开放全文,Bio-Based Flame Retardant Superhydrophobic Coatings by Phytic Acid/Polyethyleneimine Layer-by-Layer Assembly on Nylon/Cotton Blend Fabrics,2025.0,10.3390/coatings15060699,https://www.mdpi.com/2079-6412/15/6/699,真实NYCO；S4高价值辅助参照,当前公开文本未在此表段显示准确棉/锦比例，保持缺失不猜。,是,2026-09-06
220,CTG0221,C-真实NYCO织物体系,PA/PEI LbL on NC,C(PEI),,,棉/锦纶,织物,nylon/cotton blend fabric,,PEI-only control,消防服/工业防护/户外及城市技术纺织参照,N2,,,,,,307.0,404.0,,435.0,,0.828,%/min,800.0,10.3,,Table 2完整TG参数；C-3 R800=43.9%，P@C-3在功能化后仍保留35.1%。,原文Table 2,原始论文开放全文,Bio-Based Flame Retardant Superhydrophobic Coatings by Phytic Acid/Polyethyleneimine Layer-by-Layer Assembly on Nylon/Cotton Blend Fabrics,2025.0,10.3390/coatings15060699,https://www.mdpi.com/2079-6412/15/6/699,真实NYCO；S4高价值辅助参照,当前公开文本未在此表段显示准确棉/锦比例，保持缺失不猜。,是,2026-09-06
221,CTG0222,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,O-C - 5°C/min,,,棉,织物,cotton textile,,original cotton,阻燃抗菌棉/公共纺织和防护参照,,,5,,,,,,234.0,320.0,,,,700.0,2.19,,原文Ta=340°C；CR=2.19%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
222,CTG0223,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,O-C - 10°C/min,,,棉,织物,cotton textile,,original cotton,阻燃抗菌棉/公共纺织和防护参照,,,10,,,,,,258.0,329.0,,,,700.0,4.26,,原文Ta=350°C；CR=4.26%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
223,CTG0224,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,O-C - 15°C/min,,,棉,织物,cotton textile,,original cotton,阻燃抗菌棉/公共纺织和防护参照,,,15,,,,,,258.0,334.0,,,,700.0,3.37,,原文Ta=350°C；CR=3.37%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
224,CTG0225,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,O-C - 20°C/min,,,棉,织物,cotton textile,,original cotton,阻燃抗菌棉/公共纺织和防护参照,,,20,,,,,,258.0,340.0,,,,700.0,3.01,,原文Ta=350°C；CR=3.01%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
225,CTG0226,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,PP-C - 5°C/min,,,棉,织物,cotton textile,,phytic-acid flame-retardant cotton,阻燃抗菌棉/公共纺织和防护参照,,,5,,,,,,190.0,258.0,,,,700.0,14.22,,原文Ta=270°C；CR=14.22%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
226,CTG0227,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,PP-C - 10°C/min,,,棉,织物,cotton textile,,phytic-acid flame-retardant cotton,阻燃抗菌棉/公共纺织和防护参照,,,10,,,,,,190.0,265.0,,,,700.0,21.36,,原文Ta=274°C；CR=21.36%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
227,CTG0228,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,PP-C - 15°C/min,,,棉,织物,cotton textile,,phytic-acid flame-retardant cotton,阻燃抗菌棉/公共纺织和防护参照,,,15,,,,,,190.0,269.0,,,,700.0,23.94,,原文Ta=278°C；CR=23.94%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
228,CTG0229,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,PP-C - 20°C/min,,,棉,织物,cotton textile,,phytic-acid flame-retardant cotton,阻燃抗菌棉/公共纺织和防护参照,,,20,,,,,,190.0,273.0,,,,700.0,26.84,,原文Ta=280°C；CR=26.84%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
229,CTG0230,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,PPA-C - 5°C/min,,,棉,织物,cotton textile,,phytic-acid FR cotton + in-situ Ag nanoparticles,阻燃抗菌棉/公共纺织和防护参照,,,5,,,,,,220.0,286.0,,,,700.0,13.42,,原文Ta=299°C；CR=13.42%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
230,CTG0231,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,PPA-C - 10°C/min,,,棉,织物,cotton textile,,phytic-acid FR cotton + in-situ Ag nanoparticles,阻燃抗菌棉/公共纺织和防护参照,,,10,,,,,,220.0,291.0,,,,700.0,18.66,,原文Ta=306°C；CR=18.66%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
231,CTG0232,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,PPA-C - 15°C/min,,,棉,织物,cotton textile,,phytic-acid FR cotton + in-situ Ag nanoparticles,阻燃抗菌棉/公共纺织和防护参照,,,15,,,,,,220.0,294.0,,,,700.0,20.49,,原文Ta=306°C；CR=20.49%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
232,CTG0233,C-真实棉织物多升温速率TG,phytic acid / Ag NP cotton,PPA-C - 20°C/min,,,棉,织物,cotton textile,,phytic-acid FR cotton + in-situ Ag nanoparticles,阻燃抗菌棉/公共纺织和防护参照,,,20,,,,,,220.0,297.0,,,,700.0,18.79,,原文Ta=306°C；CR=18.79%（正文说明为700°C炭残余）。,原文Table 3,原始论文开放全文,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,真实棉织物，四升温速率；S5辅助参照,Ti/Ta按原文定义保留；Ti记录于起始分解栏，不与统一外推Tonset强制等同。,是,2026-09-06
233,CTG0234,C-真实耐洗功能棉,polysiloxane/cyclosiloxane/POSS + dithiophosphate,Cotton,,,棉,织物,cotton fabric,,Cotton,耐洗阻燃/疏水工装与公共纺织参照,N2,,,,,,,,338.84,363.04,,2.231,,700.0,7.378,,Table 4另给三阶段质量损失和各阶段起始温度；当前核心表先保留Tonset/主DTG峰/R700。,原文Table 4,原始论文开放全文,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12842728/,真实棉织物，包含洗后/W状态；S5高价值耐久参照,DTG_peak单位在当前表头展示不完整，保留数值但速率单位暂不填。,是,2026-09-06
234,CTG0235,C-真实耐洗功能棉,polysiloxane/cyclosiloxane/POSS + dithiophosphate,C-POSS,,,棉,织物,cotton fabric,,C-POSS,耐洗阻燃/疏水工装与公共纺织参照,N2,,,,,,,,341.46,364.45,,2.113,,700.0,14.02,,Table 4另给三阶段质量损失和各阶段起始温度；当前核心表先保留Tonset/主DTG峰/R700。,原文Table 4,原始论文开放全文,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12842728/,真实棉织物，包含洗后/W状态；S5高价值耐久参照,DTG_peak单位在当前表头展示不完整，保留数值但速率单位暂不填。,是,2026-09-06
235,CTG0236,C-真实耐洗功能棉,polysiloxane/cyclosiloxane/POSS + dithiophosphate,C-POSS-P,,,棉,织物,cotton fabric,,C-POSS-P,耐洗阻燃/疏水工装与公共纺织参照,N2,,,,,,,,283.54,315.8,,1.128,,700.0,24.02,,Table 4另给三阶段质量损失和各阶段起始温度；当前核心表先保留Tonset/主DTG峰/R700。,原文Table 4,原始论文开放全文,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12842728/,真实棉织物，包含洗后/W状态；S5高价值耐久参照,DTG_peak单位在当前表头展示不完整，保留数值但速率单位暂不填。,是,2026-09-06
236,CTG0237,C-真实耐洗功能棉,polysiloxane/cyclosiloxane/POSS + dithiophosphate,C-POSS-P/W,,,棉,织物,cotton fabric,,C-POSS-P/W,耐洗阻燃/疏水工装与公共纺织参照,N2,,,,,,,,304.9,328.49,,1.724,,700.0,15.42,,Table 4另给三阶段质量损失和各阶段起始温度；当前核心表先保留Tonset/主DTG峰/R700。,原文Table 4,原始论文开放全文,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12842728/,真实棉织物，包含洗后/W状态；S5高价值耐久参照,DTG_peak单位在当前表头展示不完整，保留数值但速率单位暂不填。,是,2026-09-06
237,CTG0238,C-真实耐洗功能棉,polysiloxane/cyclosiloxane/POSS + dithiophosphate,C-D4,,,棉,织物,cotton fabric,,C-D4,耐洗阻燃/疏水工装与公共纺织参照,N2,,,,,,,,341.72,363.04,,2.199,,700.0,5.96,,Table 4另给三阶段质量损失和各阶段起始温度；当前核心表先保留Tonset/主DTG峰/R700。,原文Table 4,原始论文开放全文,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12842728/,真实棉织物，包含洗后/W状态；S5高价值耐久参照,DTG_peak单位在当前表头展示不完整，保留数值但速率单位暂不填。,是,2026-09-06
