<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: samples.csv>index,sample_id,material_id,study_id,原始样品名,基材类别,组成,混纺比例,聚合物亚型,材料形态,面密度(g/m²),处理状态,处理化学/阻燃剂,处理方法,添加量,添加量单位,添加量基准,样品状态,洗涤次数,洗涤标准,文献确认TG,文献确认LOI,基准角色,原文位置,限制说明,来源链接,TG记录数,TG数值状态,LOI数值状态,TG+LOI数值配对
186,L026-S008,L026-M008,L026,S10M,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,unwashed; mercerized,,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
187,L026-S009,L026-M009,L026,S2.5W,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,washed (10 cycles),10.0,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
188,L026-S010,L026-M010,L026,S5W,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,washed (10 cycles),10.0,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
189,L026-S011,L026-M011,L026,S10W,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,washed (10 cycles),10.0,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
190,L026-S012,L026-M012,L026,S2.5MW,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,washed (10 cycles); mercerized,10.0,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
191,L026-S013,L026-M013,L026,S5MW,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,washed (10 cycles); mercerized,10.0,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
192,L026-S014,L026-M014,L026,S10MW,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,washed (10 cycles); mercerized,10.0,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
193,L027-S001,L027-M001,L027,Cotton,棉,100% cotton,,,织物,,未处理,,,,,,as-prepared,,,是,是,主参照,Table 4/LOI results,,https://doi.org/10.3390/ma19020265,1,有数值,有数值,是
194,L027-S002,L027-M002,L027,C-POSS,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,as-prepared,,,是,是,主参照,Table 4/LOI results,,https://doi.org/10.3390/ma19020265,1,有数值,有数值,是
195,L027-S003,L027-M003,L027,C-POSS-P,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,as-prepared,,,是,是,主参照,Table 4/LOI results,,https://doi.org/10.3390/ma19020265,1,有数值,有数值,是
196,L027-S004,L027-M003,L027,C-POSS-P/W,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,washed state,,,是,否,主参照,Table 4/LOI results,洗涤样LOI仅图示，首批未数字化,https://doi.org/10.3390/ma19020265,1,有数值,无LOI,否
197,L027-S005,L027-M004,L027,C-D4,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,as-prepared,,,是,是,主参照,Table 4/LOI results,,https://doi.org/10.3390/ma19020265,1,有数值,有数值,是
198,L027-S006,L027-M005,L027,C-D4-P,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,as-prepared,,,是,是,主参照,Table 4/LOI results,,https://doi.org/10.3390/ma19020265,1,有数值,有数值,是
199,L027-S007,L027-M005,L027,C-D4-P/W,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,washed state,,,是,否,主参照,Table 4/LOI results,洗涤样LOI仅图示，首批未数字化,https://doi.org/10.3390/ma19020265,1,有数值,无LOI,否
200,L027-S008,L027-M006,L027,C-PS,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,as-prepared,,,是,是,主参照,Table 4/LOI results,,https://doi.org/10.3390/ma19020265,1,有数值,有数值,是
201,L027-S009,L027-M007,L027,C-PS-P,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,as-prepared,,,是,是,主参照,Table 4/LOI results,,https://doi.org/10.3390/ma19020265,1,有数值,有数值,是
202,L027-S010,L027-M007,L027,C-PS-P/W,棉,100% cotton,,,织物,,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,,washed state,,,是,否,主参照,Table 4/LOI results,洗涤样LOI仅图示，首批未数字化,https://doi.org/10.3390/ma19020265,1,有数值,无LOI,否
203,L028-S001,L028-M001,L028,Control,棉,100% cotton,,,织物,,未处理,,,0.0,%,weight gain,as-prepared,,,是,是,主参照,TGA table/Table 1,,https://doi.org/10.1177/24723444251314919,1,有数值,有数值,是
204,L028-S002,L028-M002,L028,FRC10,棉,100% cotton,,,织物,,阻燃处理,bio-based intumescent flame retardant,,7.2,%,weight gain,as-prepared,,,否,是,主参照,TGA table/Table 1,,https://doi.org/10.1177/24723444251314919,0,无TG,有数值,否
205,L028-S003,L028-M003,L028,FRC20,棉,100% cotton,,,织物,,阻燃处理,bio-based intumescent flame retardant,,14.5,%,weight gain,as-prepared,,,否,是,主参照,TGA table/Table 1,,https://doi.org/10.1177/24723444251314919,0,无TG,有数值,否
206,L028-S004,L028-M004,L028,FRC30,棉,100% cotton,,,织物,,阻燃处理,bio-based intumescent flame retardant,,17.4,%,weight gain,as-prepared,,,是,是,主参照,TGA table/Table 1,,https://doi.org/10.1177/24723444251314919,1,有数值,有数值,是
207,L028-S005,L028-M003,L028,FRC20-30LCs,棉,100% cotton,,,织物,,阻燃处理,bio-based intumescent flame retardant,,10.6,%,weight gain,30 laundering cycles,30.0,,否,是,主参照,TGA table/Table 1,,https://doi.org/10.1177/24723444251314919,0,无TG,有数值,否
208,L028-S006,L028-M004,L028,FRC30-50LCs,棉,100% cotton,,,织物,,阻燃处理,bio-based intumescent flame retardant,,11.9,%,weight gain,50 laundering cycles,50.0,,否,是,主参照,TGA table/Table 1,,https://doi.org/10.1177/24723444251314919,0,无TG,有数值,否
209,L029-S001,L029-M001,L029,control cotton,棉,100% cotton,,,织物,,未处理,,,,,,as-prepared,,,是,否,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,1,仅曲线/待数字化,无LOI,否
210,L029-S002,L029-M002,L029,5FR-1,棉,100% cotton,,,织物,,阻燃处理,ammonium ethylenediamine tetramethylenephosphonate + trimethylol melamine,,,,,as-prepared,,,是,是,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,1,仅曲线/待数字化,有数值,否
211,L029-S003,L029-M003,L029,5FR-2,棉,100% cotton,,,织物,,阻燃处理,ammonium ethylenediamine tetramethylenephosphonate + trimethylol melamine,,,,,as-prepared,,,是,是,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,1,仅曲线/待数字化,有数值,否
212,L029-S004,L029-M004,L029,5FR-3,棉,100% cotton,,,织物,,阻燃处理,ammonium ethylenediamine tetramethylenephosphonate + trimethylol melamine,,,,,as-prepared,,,是,是,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,1,仅曲线/待数字化,有数值,否
213,L029-S005,L029-M005,L029,5FR-4,棉,100% cotton,,,织物,,阻燃处理,ammonium ethylenediamine tetramethylenephosphonate + trimethylol melamine,,,,,as-prepared,,,是,是,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,1,仅曲线/待数字化,有数值,否
214,L029-S006,L029-M006,L029,5FR-5,棉,100% cotton,,,织物,,阻燃处理,ammonium ethylenediamine tetramethylenephosphonate + trimethylol melamine,,,,,as-prepared,,,是,是,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,1,仅曲线/待数字化,有数值,否
215,L029-S007,L029-M007,L029,25FR-1,棉,100% cotton,,,织物,,阻燃处理,ammonium ethylenediamine tetramethylenephosphonate + trimethylol melamine,,,,,as-prepared,,,是,是,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,1,有数值,有数值,是
216,L029-S008,L029-M006,L029,5FR-5 after 20 washes,棉,100% cotton,,,织物,,阻燃处理,ammonium ethylenediamine tetramethylenephosphonate + trimethylol melamine,,,,,20 wash cycles,20.0,,否,是,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,0,无TG,有数值,否
217,L029-S009,L029-M007,L029,25FR-1 after 20 washes,棉,100% cotton,,,织物,,阻燃处理,ammonium ethylenediamine tetramethylenephosphonate + trimethylol melamine,,,,,20 wash cycles,20.0,,否,是,主参照,TGA/LOI results,,https://doi.org/10.1039/D5RA00402K,0,无TG,有数值,否
218,L030-S001,L030-M001,L030,Control,聚酯,polyester fabric,,PET,织物,,未处理,,,,,,,,,是,是,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,1,有数值,有数值,是
219,L030-S002,L030-M002,L030,OP0-SC,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,否,否,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,0,无TG,无LOI,否
220,L030-S003,L030-M003,L030,OP5,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,否,否,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,0,无TG,无LOI,否
221,L030-S004,L030-M004,L030,OP10,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,是,是,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,1,有数值,有数值,是
222,L030-S005,L030-M005,L030,OP15,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,否,否,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,0,无TG,无LOI,否
223,L030-S006,L030-M006,L030,OP10-SC,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,是,是,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,1,有数值,有数值,是
224,L030-S007,L030-M007,L030,OP15-SC,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,否,否,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,0,无TG,无LOI,否
225,L030-S008,L030-M008,L030,OP10-SC-Si1,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,否,否,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,0,无TG,无LOI,否
226,L030-S009,L030-M009,L030,OP10-SC-Si2,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,是,是,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,1,有数值,有数值,是
227,L030-S010,L030-M010,L030,OP10-SC-Si3,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,,,,否,否,主参照,formulation table/TGA/LOI,,https://doi.org/10.3390/polym18060682,0,无TG,无LOI,否
228,L030-S011,L030-M004,L030,OP10 after 5 washes,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,5 wash cycles,5.0,,否,是,主参照,LOI durability table,,https://doi.org/10.3390/polym18060682,0,无TG,有数值,否
229,L030-S012,L030-M006,L030,OP10-SC after 5 washes,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,5 wash cycles,5.0,,否,是,主参照,LOI durability table,,https://doi.org/10.3390/polym18060682,0,无TG,有数值,否
230,L030-S013,L030-M009,L030,OP10-SC-Si2 after 5 washes,聚酯,polyester fabric,,PET,织物,,阻燃涂层,sericin/phosphorus/silicon intumescent coating,,,,,5 wash cycles,5.0,,否,是,主参照,LOI durability table,,https://doi.org/10.3390/polym18060682,0,无TG,有数值,否
231,L031-S001,L031-M001,L031,CO,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,否,主参照,TGA table/LOI results,,https://doi.org/10.1007/s10570-022-05033-3,2,有数值,无LOI,否
232,L031-S002,L031-M002,L031,CO/DOPO-ETES,棉,100% cotton,,,织物,,阻燃整理,DOPO-functionalized alkoxy/amido alkoxysilane,,,,,,,,是,是,主参照,TGA table/LOI results,LOI处理样为原文约值/对应约27 wt% add-on，首批不填numeric,https://doi.org/10.1007/s10570-022-05033-3,2,有数值,仅约值/待核,否
233,L031-S003,L031-M003,L031,CO/DOPO-AmdPTE(S),棉,100% cotton,,,织物,,阻燃整理,DOPO-functionalized alkoxy/amido alkoxysilane,,,,,,,,是,是,主参照,TGA table/LOI results,LOI处理样为原文约值/对应约27 wt% add-on，首批不填numeric,https://doi.org/10.1007/s10570-022-05033-3,2,有数值,仅约值/待核,否
234,L032-S001,L032-M001,L032,Untreated cotton,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,否,主参照,publisher Highlights/abstract,全文付费墙；仅使用出版社明确摘要/Highlights数据,https://doi.org/10.1016/j.polymdegradstab.2025.111730,1,有数值,无LOI,否
235,L032-S002,L032-M002,L032,Keratin/calcium-alginate treated cotton,棉,100% cotton,,,织物,,阻燃处理,keratin + in-situ generated calcium alginate,pad-spray / in-situ composite,,,,,,,是,是,主参照,publisher Highlights/abstract,全文付费墙；仅使用出版社明确摘要/Highlights数据,https://doi.org/10.1016/j.polymdegradstab.2025.111730,1,有数值,有数值,是
236,L032-S003,L032-M002,L032,Treated cotton after washing,棉,100% cotton,,,织物,,阻燃处理,keratin + in-situ generated calcium alginate,,,,,after washing (cycles not confirmed in accessible abstract),,,否,是,主参照,publisher Highlights/abstract,洗涤次数未在可访问摘要确认；不可与未洗TG强配,https://doi.org/10.1016/j.polymdegradstab.2025.111730,0,无TG,有数值,否
237,L033-S001,L033-M001,L033,Control cotton,棉,100% cotton,,,织物,,未处理,,,,,,,,,否,否,主参照,publisher abstract,全文付费墙；对照精确TG/LOI未在公开摘要披露,https://doi.org/10.1016/j.polymdegradstab.2025.111812,0,无TG,无LOI,否
238,L033-S002,L033-M002,L033,Guar gum-polyborate treated cotton,棉,100% cotton,,,织物,,阻燃处理,guar gum-polyborate network,,5.0,%,add-on (Highlights),,,,是,是,主参照,publisher Highlights/abstract,全文付费墙；只用出版社明确Highlights数值,https://doi.org/10.1016/j.polymdegradstab.2025.111812,1,有数值,有数值,是
239,L034-S001,L034-M001,L034,pristine Nyco,棉/锦纶,nylon/cotton blend,未在可访问摘要确认,nylon/cotton (Nyco),织物,,未处理,,,,,,,,,是,是,主参照,ACS abstract/TGA results,TG精确参数首批未数字化/未从摘要获得,https://doi.org/10.1021/acsapm.2c01257,1,仅曲线/待数字化,有数值,否
240,L034-S002,L034-M002,L034,Nyco_GlyCPZ,棉/锦纶,nylon/cotton blend,未在可访问摘要确认,nylon/cotton (Nyco),织物,,阻燃整理,GlyCPZ cyclophosphazene,waterborne finishing,,,,,,,是,是,主参照,ACS abstract/TGA results,TG精确参数首批未数字化/未从摘要获得,https://doi.org/10.1021/acsapm.2c01257,1,仅曲线/待数字化,有数值,否
241,L034-S003,L034-M003,L034,Nyco_ThioGlyCPZ,棉/锦纶,nylon/cotton blend,未在可访问摘要确认,nylon/cotton (Nyco),织物,,阻燃整理,ThioGlyCPZ cyclophosphazene,waterborne finishing,,,,,,,是,是,主参照,ACS abstract/TGA results,TG精确参数首批未数字化/未从摘要获得,https://doi.org/10.1021/acsapm.2c01257,1,仅曲线/待数字化,有数值,否
242,L035-S001,L035-M001,L035,Control NYCO,棉/锦纶,nylon-cotton blend,未在可访问摘要确认,,织物,,未处理,,,,,,,,,是,是,主参照,publisher abstract,对照TG精确参数未在摘要披露,https://doi.org/10.1016/j.porgcoat.2022.107018,1,仅曲线/待数字化,有数值,否
243,L035-S002,L035-M002,L035,PTau-NYCO,棉/锦纶,nylon-cotton blend,,,织物,,阻燃处理,ammonium salt of taurine phosphonate (PTau),covalent grafting,,,,,,,是,是,主参照,publisher abstract,,https://doi.org/10.1016/j.porgcoat.2022.107018,1,有数值,有数值,是
244,L035-S003,L035-M002,L035,PTau-NYCO after 40 laundering cycles,棉/锦纶,nylon-cotton blend,,,织物,,阻燃处理,PTau,,,,,40 laundering cycles,40.0,,否,是,主参照,publisher abstract,洗涤状态摘要未报告TG,https://doi.org/10.1016/j.porgcoat.2022.107018,0,无TG,有数值,否
245,L036-S001,L036-M001,L036,CO/NY control,棉/锦纶,nylon/cotton blend,50/50 wt%,nylon/cotton,织物,150.0,未处理,,,,,,,,,是,是,主参照,publisher text/abstract,TG-FTIR/TGA存在，但首批未提取精确TG端点,https://doi.org/10.1016/j.porgcoat.2023.107884,1,仅曲线/待数字化,有数值,否
246,L036-S002,L036-M002,L036,PALC-treated CO/NY,棉/锦纶,nylon/cotton blend,50/50 wt%,nylon/cotton,织物,150.0,阻燃涂层,phytic acid + L-cysteine (PALC),dipping and nipping / ion-exchange coating,30.0,wt%,final dry add-on (约，文献正文/综述交叉线索),,,,是,是,主参照,publisher text/abstract,TG-FTIR/TGA存在，但首批未提取精确TG端点,https://doi.org/10.1016/j.porgcoat.2023.107884,1,仅曲线/待数字化,有数值,否
